coordinate_velocity_c,positive_energy_J,scaling_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_days,energy_efficiency,velocity_category
1.0,3.127661903992723e+58,1.0,2.015856036074927e-06,4.1481904361720897e+37,True,1548.66,3.1972765301883047e-44,LOW_VELOCITY
2.0,1.2507976819567288e+59,3.9991460725341845,1.5938543895190644e-05,1.6589219490941479e+38,True,774.33,7.994898091237388e-45,LOW_VELOCITY
3.0,2.8119042598801835e+59,2.248088800005836,5.3147103245159605e-05,3.7294038538424056e+38,True,516.22,3.556308848305562e-45,LOW_VELOCITY
4.0,4.992007757827081e+59,1.775312135997046,0.0001244378858617563,6.620855921760576e+38,True,387.165,2.003202015125232e-45,LOW_VELOCITY
5.0,7.785574225827044e+59,1.5596077978083802,0.0002400324028933327,1.0325938523743585e+39,True,309.732,1.2844267757190026e-45,LOW_VELOCITY
6.0,1.1185897838662012e+60,1.4367466694434807,0.0004095947094748749,1.4835757782866728e+39,True,258.11,8.939827758337671e-46,LOW_VELOCITY
7.0,1.5185294331714853e+60,1.3575391578519211,0.0006422536519334989,2.0140122126647983e+39,True,221.23714285714286,6.5853185203758346e-46,LOW_VELOCITY
8.0,1.9775237716130238e+60,1.3022623917686718,0.0009466273397343941,2.6227723611161752e+39,True,193.5825,5.0568292242794204e-46,LOW_VELOCITY
9.0,2.4946460663276863e+60,1.261499913243954,0.0013308483278865624,3.3086271060066954e+39,True,172.07333333333335,4.0085846785956216e-46,LOW_VELOCITY
10.0,3.0689031231197884e+60,1.2301958039432237,0.0018025886357327843,4.070259182622248e+39,True,154.866,3.258493213638556e-46,MEDIUM_VELOCITY
11.0,3.6992413998633836e+60,1.2053952997065627,0.0023690841024113373,4.9062712873203334e+39,True,140.78727272727272,2.7032569435369397e-46,MEDIUM_VELOCITY
12.0,4.384552084116043e+60,1.1852570865686052,0.003037157802583137,5.815192811924498e+39,True,129.055,2.2807346812521837e-46,MEDIUM_VELOCITY
13.0,5.123675479948972e+60,1.1685744362601047,0.0038132423810830827,6.795485661938484e+39,True,119.12769230769231,1.9517239214571785e-46,MEDIUM_VELOCITY
14.0,5.915404933957374e+60,1.1545237314710428,0.004703401247456842,7.845549463579189e+39,True,110.61857142857143,1.690501345494543e-46,MEDIUM_VELOCITY
15.0,6.758490454761194e+60,1.1425237207285825,0.005713348621482009,8.96372636428863e+39,True,103.244,1.4796203482029395e-46,MEDIUM_VELOCITY
